,API_UserName,obs_date,OpDiv,observations,curr_date
104.21.112.1,50189120947314147395,2025-04-15,NIH,16728,2025-04-15
104.21.16.1,50189120947314147395,2025-04-15,NIH,19467,2025-04-15
104.21.3.76,50189120947314147395,2025-04-15,NIH,10,2025-04-15
104.21.32.1,50189120947314147395,2025-04-15,NIH,20962,2025-04-15
104.21.38.16,50189120947314147395,2025-04-15,NIH,6,2025-04-15
104.21.48.1,50189120947314147395,2025-04-15,NIH,17666,2025-04-15
104.21.53.185,50189120947314147395,2025-04-15,NIH,328,2025-04-15
104.21.64.1,50189120947314147395,2025-04-15,NIH,15645,2025-04-15
104.21.80.1,50189120947314147395,2025-04-15,NIH,17608,2025-04-15
104.21.94.130,50189120947314147395,2025-04-15,NIH,2,2025-04-15
104.21.96.1,50189120947314147395,2025-04-15,NIH,16167,2025-04-15
104.247.82.51,50189120947314147395,2025-04-15,NIH,16,2025-04-15
107.167.110.211,50189120947314147395,2025-04-15,NIH,433,2025-04-15
107.167.110.216,50189120947314147395,2025-04-15,NIH,409,2025-04-15
118.193.33.130,50189120947314147395,2025-04-15,NIH,3,2025-04-15
121.40.98.45,50189120947314147395,2025-04-15,NIH,9,2025-04-15
13.248.169.48,50189120947314147395,2025-04-15,NIH,64305,2025-04-15
13.248.213.45,50189120947314147395,2025-04-15,NIH,1843,2025-04-15
13.248.243.5,50189120947314147395,2025-04-15,NIH,1325,2025-04-15
141.193.213.20,50189120947314147395,2025-04-15,NIH,6929,2025-04-15
141.193.213.21,50189120947314147395,2025-04-15,NIH,7034,2025-04-15
15.197.130.221,50189120947314147395,2025-04-15,NIH,118,2025-04-15
15.197.142.173,50189120947314147395,2025-04-15,NIH,202,2025-04-15
15.197.148.33,50189120947314147395,2025-04-15,NIH,1463,2025-04-15
15.197.225.128,50189120947314147395,2025-04-15,NIH,1944,2025-04-15
151.101.130.133,50189120947314147395,2025-04-15,NIH,44565,2025-04-15
151.101.194.133,50189120947314147395,2025-04-15,NIH,48515,2025-04-15
151.101.2.133,50189120947314147395,2025-04-15,NIH,48185,2025-04-15
151.101.66.133,50189120947314147395,2025-04-15,NIH,45305,2025-04-15
156.146.63.130,50189120947314147395,2025-04-15,NIH,13,2025-04-15
156.146.63.163,50189120947314147395,2025-04-15,NIH,5,2025-04-15
156.146.63.173,50189120947314147395,2025-04-15,NIH,4,2025-04-15
159.69.186.9,50189120947314147395,2025-04-15,NIH,56,2025-04-15
159.69.42.212,50189120947314147395,2025-04-15,NIH,50,2025-04-15
159.69.83.207,50189120947314147395,2025-04-15,NIH,63,2025-04-15
160.153.0.204,50189120947314147395,2025-04-15,NIH,140,2025-04-15
170.130.55.240,50189120947314147395,2025-04-15,NIH,105,2025-04-15
172.240.108.68,50189120947314147395,2025-04-15,NIH,169,2025-04-15
172.67.216.41,50189120947314147395,2025-04-15,NIH,151,2025-04-15
185.230.63.171,50189120947314147395,2025-04-15,NIH,73,2025-04-15
185.253.162.21,50189120947314147395,2025-04-15,NIH,23,2025-04-15
185.99.133.112,50189120947314147395,2025-04-15,NIH,36,2025-04-15
192.0.66.130,50189120947314147395,2025-04-15,NIH,14,2025-04-15
192.0.66.222,50189120947314147395,2025-04-15,NIH,48,2025-04-15
192.124.249.3,50189120947314147395,2025-04-15,NIH,25,2025-04-15
192.243.59.12,50189120947314147395,2025-04-15,NIH,167,2025-04-15
192.243.59.13,50189120947314147395,2025-04-15,NIH,168,2025-04-15
192.243.59.20,50189120947314147395,2025-04-15,NIH,176,2025-04-15
192.64.151.235,50189120947314147395,2025-04-15,NIH,76,2025-04-15
198.49.23.144,50189120947314147395,2025-04-15,NIH,2151,2025-04-15
199.36.158.100,50189120947314147395,2025-04-15,NIH,4477,2025-04-15
199.59.243.228,50189120947314147395,2025-04-15,NIH,21943,2025-04-15
208.87.233.190,50189120947314147395,2025-04-15,NIH,267,2025-04-15
23.185.0.1,50189120947314147395,2025-04-15,NIH,3076,2025-04-15
23.205.105.180,50189120947314147395,2025-04-15,NIH,958,2025-04-15
3.33.152.147,50189120947314147395,2025-04-15,NIH,115,2025-04-15
3.33.251.168,50189120947314147395,2025-04-15,NIH,1766,2025-04-15
34.160.111.145,50189120947314147395,2025-04-15,NIH,580,2025-04-15
34.96.122.219,50189120947314147395,2025-04-15,NIH,17992,2025-04-15
44.212.189.45,50189120947314147395,2025-04-15,NIH,12,2025-04-15
45.77.249.79,50189120947314147395,2025-04-15,NIH,507,2025-04-15
52.200.142.25,50189120947314147395,2025-04-15,NIH,64,2025-04-15
66.81.203.198,50189120947314147395,2025-04-15,NIH,102,2025-04-15
68.67.179.164,50189120947314147395,2025-04-15,NIH,84206,2025-04-15
69.16.230.165,50189120947314147395,2025-04-15,NIH,155,2025-04-15
69.162.96.148,50189120947314147395,2025-04-15,NIH,109,2025-04-15
70.39.115.74,50189120947314147395,2025-04-15,NIH,240,2025-04-15
76.223.105.230,50189120947314147395,2025-04-15,NIH,1149,2025-04-15
76.223.54.146,50189120947314147395,2025-04-15,NIH,65364,2025-04-15
76.223.67.189,50189120947314147395,2025-04-15,NIH,1841,2025-04-15
76.76.21.21,50189120947314147395,2025-04-15,NIH,10387,2025-04-15
