Indicator,Observed Today,Frequency (7d),Frequency (30d),Probability: Today,Confidence: Today,Probability: 7-Day,Confidence: 7-Day,Probability: 14-Day,Confidence: 14-Day,Probability: 30-Day,Confidence: 30-Day
111.252.109.168,0,0.0,1.0,3.22%,Today: Low confidence,16.79%,7-Day: Low confidence,61.87%,14-Day: Low confidence,74.17%,30-Day: Low confidence
116.122.194.173,0,4.0,18.0,34.62%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
116.98.171.207,0,0.0,1.0,0.66%,Today: Low confidence,9.03%,7-Day: Low confidence,22.92%,14-Day: Low confidence,48.63%,30-Day: Low confidence
118.179.198.193,1,6.0,7.0,92.2%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
118.193.59.10,0,5.0,21.0,44.96%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
118.193.72.187,0,6.0,25.0,69.19%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
118.26.111.94,1,3.0,3.0,72.82%,Today: Highly likely,94.89%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
119.8.168.146,0,1.0,6.0,3.66%,Today: Low confidence,85.0%,7-Day: Possibly active,100.0%,14-Day: Possibly active,100.0%,30-Day: Possibly active
121.127.34.150,1,1.0,1.0,23.47%,Today: Possibly active,59.45%,7-Day: Possibly active,65.99%,14-Day: Possibly active,75.06%,30-Day: Possibly active
122.187.101.182,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.01%,14-Day: Low confidence,0.05%,30-Day: Low confidence
123.136.100.101,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.01%,14-Day: Low confidence,0.05%,30-Day: Low confidence
134.122.117.221,0,0.0,1.0,2.18%,Today: Low confidence,14.14%,7-Day: Low confidence,59.36%,14-Day: Low confidence,74.06%,30-Day: Low confidence
134.122.23.152,0,1.0,1.0,17.03%,Today: Possibly active,58.57%,7-Day: Possibly active,65.65%,14-Day: Possibly active,74.8%,30-Day: Possibly active
137.184.175.72,0,1.0,2.0,5.91%,Today: Low confidence,74.21%,7-Day: Possibly active,96.81%,14-Day: Possibly active,100.0%,30-Day: Possibly active
138.197.133.225,0,0.0,0.0,0.01%,Today: Low confidence,0.49%,7-Day: Low confidence,2.29%,14-Day: Low confidence,18.68%,30-Day: Low confidence
138.197.92.73,0,0.0,2.0,0.95%,Today: Low confidence,25.11%,7-Day: Low confidence,89.71%,14-Day: Low confidence,100.0%,30-Day: Low confidence
138.199.43.92,0,0.0,3.0,3.67%,Today: Low confidence,30.56%,7-Day: Low confidence,99.32%,14-Day: Low confidence,100.0%,30-Day: Low confidence
138.199.6.221,0,0.0,0.0,0.0%,Today: Low confidence,0.01%,7-Day: Low confidence,0.01%,14-Day: Low confidence,3.01%,30-Day: Low confidence
139.59.32.169,0,1.0,1.0,17.03%,Today: Possibly active,58.57%,7-Day: Possibly active,65.65%,14-Day: Possibly active,74.8%,30-Day: Possibly active
141.98.10.151,0,0.0,7.0,3.47%,Today: Low confidence,41.97%,7-Day: Low confidence,100.0%,14-Day: Low confidence,100.0%,30-Day: Low confidence
141.98.11.128,0,0.0,2.0,0.29%,Today: Low confidence,17.56%,7-Day: Low confidence,48.07%,14-Day: Low confidence,80.12%,30-Day: Low confidence
141.98.11.145,1,1.0,1.0,23.47%,Today: Possibly active,59.45%,7-Day: Possibly active,65.99%,14-Day: Possibly active,75.06%,30-Day: Possibly active
141.98.11.147,0,3.0,12.0,26.75%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
141.98.11.82,0,3.0,10.0,25.57%,Today: Possibly active,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
141.98.252.143,0,0.0,1.0,0.08%,Today: Low confidence,7.83%,7-Day: Low confidence,19.76%,14-Day: Low confidence,63.3%,30-Day: Low confidence
142.54.229.249,0,0.0,0.0,0.0%,Today: Low confidence,0.0%,7-Day: Low confidence,0.0%,14-Day: Low confidence,0.11%,30-Day: Low confidence
142.93.13.29,1,7.0,9.0,97.93%,Today: Highly likely,100.0%,7-Day: Highly likely,100.0%,14-Day: Highly likely,100.0%,30-Day: Highly likely
