seen_today,last_seen,freq_7,freq_30,avg_gap,burstiness,exp_today,exp_7,exp_14,exp_30,weibull_today,weibull_7,weibull_14,weibull_30,logistic_today,logistic_7,logistic_14,logistic_30,gbt_today,gbt_7,gbt_14,gbt_30
0,54.0,0.0,0.0,21.0,0.0,9.999994999843054e-07,6.999975500021627e-06,1.3999902000461084e-05,2.9999550004489173e-05,1.7235024518669206e-09,1.5681599774275412e-07,7.819742502412907e-07,4.575621217806081e-06,0.004852874297514783,0.004852874297514783,0.004919981935907745,0.060143955340435755,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,2.5396019517326427e-05
0,5.0,1.0,2.0,31.0,-0.3520924293383648,0.06449301496838222,0.37291091472694393,0.6067592791314018,0.8646647167633873,0.000499168477419043,0.044412642495247345,0.2027089721235973,0.7343420702471548,0.7997855939727619,0.7997855939727619,0.8965912195070078,0.9846098870966021,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
0,27.0,0.0,1.0,18.666666666666668,-0.23525045272359033,0.0327838995179941,0.20811043366321835,0.37291091472694393,0.6321205588285577,1.907017227020802e-06,0.00017349855282655646,0.0008648641314047412,0.005050045316510654,0.03418758122029123,0.03418758122029123,0.12411551044761708,0.7129793891005373,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
0,41.0,0.0,0.0,6.0,-0.38196601125010515,9.999994999843054e-07,6.999975500021627e-06,1.3999902000461084e-05,2.9999550004489173e-05,4.249906593312147e-08,3.866847619327096e-06,1.9282171141554727e-05,0.00011282206820784069,0.014792549034167388,0.014792549034167388,0.022704221080543104,0.2529101612823287,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,2.5396019517326427e-05
0,28.0,0.0,2.0,20.5,-0.025,0.06449301496838222,0.37291091472694393,0.6067592791314018,0.8646647167633873,2.3032843937675906e-06,0.0002095468141392054,0.0010444842262292697,0.006096212223569264,0.028904182173345325,0.028904182173345325,0.12981221298944376,0.7538905915449734,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,0.9999816962296509
1,0.0,2.0,7.0,5.52,0.022118720665124308,0.20811043366321835,0.8047224371643142,0.9618666734529548,0.9990881180344455,0.014474020140806676,0.7346137156594522,0.9986599293952165,1.0,0.9918929852506124,0.9918929852506124,0.9932398041615862,0.9989463176379566,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
0,13.0,0.0,1.0,65.0,0.0,0.0327838995179941,0.20811043366321835,0.37291091472694393,0.6321205588285577,4.086254582191806e-05,0.0037111258999346086,0.018369413120676636,0.10280849083892607,0.07058207972597534,0.07058207972597534,0.41511669479660984,0.9206578230565682,1.2468595805475465e-05,1.2468595805475465e-05,0.9999740641249462,0.9999816962296509
0,71.0,0.0,0.0,10.6,-0.3198361317719319,9.999994999843054e-07,6.999975500021627e-06,1.3999902000461084e-05,2.9999550004489173e-05,1.8318790928617545e-11,1.666765725438779e-09,8.311449750664224e-09,4.8633464921898906e-08,0.0020367625443394916,0.0020367625443394916,0.0006855240087225166,0.009389184601979348,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,2.5396019517326427e-05
1,0.0,7.0,30.0,1.0172413793103448,-0.6923918524117333,0.6321205588285577,0.9990881180344455,0.9999991684712809,0.9999999999999064,0.9011789923861789,1.0,1.0,1.0,0.9999999997774538,0.9999999997774538,0.9999998766418746,0.9999999665014534,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
1,0.0,7.0,27.0,1.2117647058823529,-0.38867227216487565,0.5934303402594009,0.9981636952229711,0.9999966279847659,0.9999999999981205,0.7720442484465797,1.0,1.0,1.0,0.9999999996753206,0.9999999996753206,0.9999997865202213,0.9999998818405782,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
0,1.0,4.0,17.0,1.943661971830986,-0.0590075619809671,0.43258633120299617,0.9810635504520585,0.9996414108785183,0.9999999586006229,0.1256922229167341,0.999995077069181,1.0,1.0,0.9999907706920367,0.9999907706920367,0.9999151683150179,0.9999853952817555,0.9999694131007107,0.9999694131007107,0.9999740641249462,0.9999816962296509
0,36.0,0.0,0.0,507.0,0.0,9.999994999843054e-07,6.999975500021627e-06,1.3999902000461084e-05,2.9999550004489173e-05,4.287914467937526e-11,3.901440059905781e-09,1.9454817423714132e-08,1.1383755937899309e-07,0.02116366634276737,0.02116366634276737,0.03190467655276135,0.24500904944415625,1.2468595805475465e-05,1.2468595805475465e-05,1.772796899006968e-05,2.5396019517326427e-05
