indicator,date,seen,cumulative_seen,days_since_last_seen_x,seen_streak,rolling_seen_ratio_14d,rolling_seen_std_14d,high_activity_not_seen_ratio_14d,low_activity_seen_ratio_14d,rolling_seen_ratio_7d,seen_ratio_diff,rolling_obs_14d,rolling_obs_7d,obs_ratio_spike,seen_streak_prev,recent_drop_flag,volatility_ratio,total_seen,seen_ratio,seen_std,max_seen_streak,max_unseen_streak,mean_seen_interval,std_seen_interval,days_since_last_seen_y,high_activity_not_seen_count,high_activity_not_seen_ratio,low_activity_seen_count,low_activity_seen_ratio,seen_score,unseen_risk,seen_gap_mean,seen_gap_std
104.21.48.1,2025-04-30,1,96,0.0,38,1.0,0.0,0.0,0.2857142857142857,1.0,0.0,2935.5,3027.1428571428573,0.969726285663611,37.0,0,0.0,97,0.8016528925619835,0.3987549779112337,58,22,1.0208333333333333,0.2030582155168534,0,0,0.0,7,0.0578512396694214,80.78264462809918,4.4,1.0208333333333333,0.2041241452319315
104.21.54.132,2025-04-30,1,66,0.0,6,0.8571428571428571,0.3631365196012815,0.0,0.6428571428571429,0.8571428571428571,-0.0714285714285715,3.0,2.4285714285714284,1.2352936089967492,5.0,0,0.4236543302343091,67,0.5537190082644629,0.4971058922916551,17,37,1.2575757575757576,0.5854448207988381,0,0,0.0,0,0.0,51.18595041322314,7.4,1.2575757575757576,0.589931053614444
156.146.63.162,2025-04-30,1,11,0.0,1,0.0714285714285714,0.2672612419124244,0.9285714285714286,0.0,0.1428571428571428,0.0,0.4285714285714285,0.8571428571428571,0.4999994166673472,0.0,0,3.741133628066013,11,0.0909090909090909,0.2874797872880344,2,33,8.6,8.616263691415206,1,110,0.9090909090909092,0,0.0,8.145454545454546,98.0090909090909,8.6,9.082339395160746
156.146.63.170,2025-04-30,1,14,0.0,1,0.0714285714285714,0.2672612419124244,0.9285714285714286,0.0,0.1428571428571428,0.0714285714285714,0.4285714285714285,0.8571428571428571,0.4999994166673472,0.0,0,3.7411336280660135,14,0.1157024793388429,0.3198678095927872,2,21,7.923076923076923,6.764858727975585,1,107,0.8842975206611571,0,0.0,10.28512396694215,93.12975206611571,7.923076923076923,7.041088202609244
156.146.63.171,2025-04-30,1,19,0.0,1,0.1428571428571428,0.3631365196012815,0.8571428571428571,0.0,0.1428571428571428,0.0,1.0,1.5714285714285714,0.6363632314052164,0.0,0,2.541777712769077,19,0.1570247933884297,0.363824143852151,3,15,5.777777777777778,4.403982485023647,1,102,0.8429752066115702,0,0.0,14.051239669421488,87.79752066115702,5.777777777777778,4.531660591043673
156.146.63.180,2025-04-30,1,13,0.0,1,0.2142857142857142,0.4258153136263201,0.0714285714285714,0.0,0.1428571428571428,-0.1428571428571428,0.5,0.1428571428571428,3.499975500171499,0.0,0,1.9870454014707584,13,0.1074380165289256,0.3096693222346313,3,41,6.5,5.649483752226097,1,108,0.8925619834710744,0,0.0,9.77190082644628,97.95619834710745,6.5,5.900693333683917
156.146.63.181,2025-04-30,1,18,0.0,1,0.2142857142857142,0.4258153136263201,0.7857142857142857,0.0,0.2857142857142857,0.1428571428571428,1.0714285714285714,1.2857142857142858,0.8333326851856893,0.0,0,1.9870454014707584,18,0.1487603305785124,0.3558520684563799,3,29,6.588235294117647,7.53859733816508,1,103,0.8512396694214877,0,0.0,13.33801652892562,91.42396694214877,6.588235294117647,7.77060827356369
162.142.125.247,2025-04-30,1,101,0.0,2,0.9285714285714286,0.2672612419124243,0.0,0.3571428571428571,0.8571428571428571,-0.0714285714285714,3.0,2.7142857142857144,1.1052627506926709,1.0,0,0.2878166994181555,102,0.8429752066115702,0.3638241438521511,22,3,1.188118811881188,0.5017370082898981,0,0,0.0,19,0.1570247933884297,77.14876033057851,0.6000000000000001,1.188118811881188,0.5042394527826777
162.142.125.255,2025-04-30,1,98,0.0,3,0.9285714285714286,0.2672612419124244,0.0,0.2142857142857142,0.8571428571428571,-0.0714285714285714,2.5,2.571428571428572,0.9722218441359494,2.0,0,0.2878166994181556,99,0.8181818181818182,0.3856946079199349,18,2,1.2244897959183674,0.5056943548311783,0,0,0.0,29,0.2396694214876033,74.2090909090909,0.4,1.2244897959183674,0.508294342945169
172.240.108.68,2025-04-30,1,98,0.0,10,0.9285714285714286,0.2672612419124244,0.0,0.2142857142857142,1.0,0.0714285714285715,19.142857142857142,24.428571428571427,0.783625698915907,9.0,0,0.2878166994181556,99,0.8181818181818182,0.3856946079199349,26,3,1.2142857142857142,0.5933302759227196,0,0,0.0,9,0.0743801652892562,75.80909090909091,0.6000000000000001,1.2142857142857142,0.5963808372950823
178.175.129.37,2025-04-30,1,15,0.0,2,0.3571428571428571,0.4972451580988469,0.0,0.0,0.5714285714285714,0.0714285714285714,1.5714285714285714,2.4285714285714284,0.6470585570935353,1.0,0,1.3922474597478984,15,0.1239669421487603,0.3295438353285436,3,84,2.5,1.8027756377319943,1,106,0.8760330578512396,0,0.0,11.198347107438018,104.90330578512396,2.5,1.8708286933869707
