indicator
1.192.18.4
1.4.195.14
100.27.42.247
101.89.148.7
101.89.174.236
102.0.5.152
102.209.18.96
103.114.96.246
103.115.20.87
103.124.139.170
103.124.94.57
103.125.173.75
103.133.60.12
103.133.61.182
103.140.63.154
103.149.86.208
103.150.218.78
103.151.172.28
103.159.194.209
103.161.153.178
103.163.103.50
103.163.80.62
103.169.132.38
103.171.245.198
103.172.121.52
103.172.121.54
103.172.81.132
103.173.66.134
103.176.96.138
103.186.30.186
103.191.196.155
103.191.76.181
103.203.59.0
103.215.25.250
103.220.23.111
103.240.108.198
103.249.19.190
103.53.40.64
103.55.22.232
103.66.62.27
103.70.114.33
103.75.84.69
103.85.84.176
104.128.161.233
104.131.6.219
104.152.52.105
104.152.52.110
104.152.52.139
104.152.52.148
104.152.52.155
104.152.52.200
104.152.52.212
104.152.52.216
104.152.52.225
104.152.52.237
104.152.52.238
104.152.52.239
104.152.52.242
104.16.230.132
104.16.231.132
104.160.6.2
104.18.32.191
104.18.68.40
104.18.69.40
104.192.225.10
104.192.3.74
104.200.72.6
104.21.20.66
104.21.3.76
104.21.43.80
104.21.45.12
104.21.48.1
104.21.54.132
104.234.115.162
104.234.115.167
104.234.115.171
104.234.115.39
104.234.115.58
104.234.115.64
104.234.115.7
104.234.115.77
104.237.131.164
104.237.151.205
104.238.222.208
104.244.73.193
104.244.79.50
104.247.82.11
104.248.203.234
104.28.155.218
104.28.158.191
104.28.159.127
104.28.161.71
104.28.162.227
104.28.200.170
104.28.202.185
104.28.211.105
104.28.211.187
104.28.215.136
104.28.215.137
104.28.222.47
104.28.234.185
104.28.235.57
104.28.235.59
104.28.235.60
104.28.243.105
104.28.247.136
104.37.135.145
107.181.168.145
107.189.11.181
107.189.13.254
107.189.3.148
107.189.3.94
107.189.30.69
107.189.31.187
107.189.6.124
107.189.8.16
109.228.160.190
109.70.1.199
109.70.100.1
109.70.100.2
109.70.100.5
109.70.100.6
109.70.100.65
109.70.100.67
109.70.100.68
109.71.252.88
109.71.252.97
111.118.215.174
111.30.42.43
111.67.197.113
112.102.196.2
113.176.118.150
113.197.35.48
113.247.243.143
114.98.227.36
115.190.15.27
115.190.73.86
115.61.168.170
115.79.137.99
116.10.202.60
116.128.243.59
117.50.175.42
117.50.216.193
117.90.100.7
118.114.19.190
118.179.198.193
118.179.82.165
118.193.59.10
118.193.72.187
118.26.111.94
118.71.138.69
119.200.13.201
120.48.45.123
121.152.230.177
121.156.163.143
121.159.71.249
121.169.46.116
121.186.31.54
122.155.84.218
122.231.191.3
122.54.133.163
123.150.138.196
123.150.138.197
123.150.138.198
123.58.196.49
123.58.207.81
123.58.209.112
124.156.231.182
124.198.131.108
124.225.88.88
125.124.50.87
125.209.101.162
125.227.90.5
125.88.174.211
128.14.236.99
129.146.167.15
129.227.46.163
134.122.41.236
134.199.159.23
136.144.17.118
136.144.17.133
136.144.17.89
136.144.19.51
136.144.43.81
138.117.87.156
138.197.101.95
138.197.143.227
138.199.21.209
138.199.43.66
138.199.43.79
138.199.43.92
138.199.6.195
138.199.6.208
138.199.6.221
138.68.84.109
14.103.127.80
14.103.172.199
14.18.37.109
14.224.208.18
141.164.36.113
141.255.164.12
141.98.10.151
141.98.10.162
141.98.10.225
141.98.11.34
141.98.11.57
141.98.11.82
142.93.115.5
143.110.190.60
143.110.213.190
143.110.217.153
143.198.37.78
143.244.47.66
143.244.47.79
143.244.47.92
143.95.252.196
144.76.136.153
144.91.119.135
146.19.39.77
146.190.133.67
146.190.134.234
146.190.241.65
146.70.103.228
146.70.112.126
146.70.117.163
146.70.129.131
